,id,combined_features,popularity,vote_average,points,release_date
1627,184346,deliver us from evil possessed demon occult demonic possession eric bana edgar ram\u00edrez olivia munn joel mchale sean harris thriller crime horror scott derrickson 2014 film films movies movie actor actress director,29.359201,5.9,119521.30727100001,2014-07-01
4097,301351,we are your friends dj zac efron emily ratajkowski wes bentley nick rotteveel alessandro lindblad drama music romance max joseph 2015 film films movies movie actor actress director,28.819424,6.3,119468.0402496,2015-08-26
1034,199,star trek: first contact federation starfleet borg enterprise-e cyborg patrick stewart jonathan frakes brent spiner levar burton michael dorn science fiction action adventure thriller jonathan frakes 1996 film films movies movie actor actress director,25.6713,7.0,118781.10509999999,1996-11-21
2572,4995,boogie nights pornography sex porn actor pornographic video from rags to riches mark wahlberg burt reynolds john c. reilly julianne moore thomas jane drama paul thomas anderson 1997 film films movies movie actor actress director,19.85579,7.5,118539.06629999999,1997-09-11
142,11619,flushed away london england underworld return ship frog hugh jackman kate winslet ian mckellen jean reno bill nighy adventure animation comedy family david bowers 2006 film films movies movie actor actress director,22.550135,6.0,118252.90794,2006-10-22
832,9374,death becomes her jealousy beauty immortality rivalry potion meryl streep bruce willis goldie hawn isabella rossellini ian ogilvy fantasy comedy robert zemeckis 1992 film films movies movie actor actress director,29.498304,6.3,118193.8044672,1992-07-30
3460,1103,escape from new york taxi street gang usa president war veteran hostage kurt russell lee van cleef ernest borgnine donald pleasence isaac hayes science fiction action john carpenter 1981 film films movies movie actor actress director,24.351305,6.9,118120.87516350001,1981-05-22
3447,642,butch cassidy and the sundance kid wyoming historical figure loot sharing paul newman robert redford katharine ross strother martin henry jones history drama western crime george roy hill 1969 film films movies movie actor actress director,24.499996,7.4,117844.98076,1969-09-23
994,18501,gamer dystopia mind control gun battle wrongful imprisonment dystopic future gerard butler michael c. hall logan lerman amber valletta terry crews action thriller science fiction brian taylor 2009 film films movies movie actor actress director,27.631262,5.6,117598.65107199998,2009-09-03
101,49538,x-men: first class cia mutant mine marvel comic superhero james mcavoy michael fassbender jennifer lawrence kevin bacon rose byrne action science fiction adventure matthew vaughn 2011 film films movies movie actor actress director,3.195174,7.1,117534.79510739999,2011-05-24
1310,256961,paul blart: mall cop 2 shopping mall las vegas security guard kevin james raini rodriguez eduardo ver\u00e1stegui daniella alonso neal mcdonough action comedy family andy fickman 2015 film films movies movie actor actress director,41.258487,5.0,116967.810645,2015-04-16
4039,7512,idiocracy prostitute capitalism usa president arena congress luke wilson maya rudolph dax shepard terry crews anthony 'citric' campos adventure comedy science fiction mike judge 2006 film films movies movie actor actress director,27.940093,6.3,116878.9970376,2006-09-01
3749,8337,they live dystopia social commentary alien invasion sunglasses brawl roddy piper keith david meg foster george buck flower peter jason action horror science fiction thriller john carpenter 1988 film films movies movie actor actress director,29.852608,7.1,116574.43423999999,1988-11-23
4076,595,to kill a mockingbird black people based on novel brother sister relationship becoming an adult isolation gregory peck brock peters james anderson mary badham phillip alford crime drama robert mulligan 1962 film films movies movie actor actress director,22.139842,8.0,116367.009552,1962-12-25
833,8584,shanghai noon princess sioux travel rescue native american jackie chan owen wilson lucy liu xander berkeley roger yuan adventure action comedy western tom dey 2000 film films movies movie actor actress director,25.400935,6.2,115752.06079500001,2000-05-26
293,16523,where the wild things are children's book igloo wolf costume swallowed whole hit with a rock max records catherine keener lauren ambrose james gandolfini catherine o'hara family fantasy spike jonze 2009 film films movies movie actor actress director,31.58621500000001,6.4,115630.81587200004,2009-10-16
4738,473,pi hacker mathematician helix headache chaos theory sean gullette mark margolis ben shenkman samia shoaib pamela hart mystery drama thriller darren aronofsky 1998 film films movies movie actor actress director,27.788067,7.1,115615.03156019999,1998-07-10
2136,3989,team america: world police paris france cairo capitalism loss of lover trey parker matt stone kristen miller masasa moyo daran norris music adventure animation action comedy trey parker 2004 film films movies movie actor actress director,26.509175,6.6,115473.96629999999,2004-10-10
691,11199,wild hogs midlife crisis road trip politically incorrect motorcycle gang biker film tim allen john travolta martin lawrence william h. macy ray liotta action adventure comedy walt becker 2007 film films movies movie actor actress director,31.719463,5.6,115103.5873344,2007-03-02
3559,72571,paranormal activity 3 witch sister sister relationship sequel prequel haunting katie featherston sprague grayden lauren bittner christopher nicholas smith chloe csengery horror henry joost 2011 film films movies movie actor actress director,29.15813,5.9,115090.054923,2011-10-19
893,26389,from paris with love paris cia undercover explosive pimp john travolta jonathan rhys meyers kasia smutniak richard durden bing yin action crime thriller pierre morel 2010 film films movies movie actor actress director,27.916284,6.1,114945.29937000001,2010-02-05
2936,3175,barry lyndon palace british army fencing epic debt ryan o'neal marisa berenson hardy kr\u00fcger diana k\u00f6rner frank middlemass drama romance war stanley kubrick 1975 film films movies movie actor actress director,29.543331,7.7,114879.2425935,1975-12-18
1358,817,austin powers: the spy who shagged me saving the world moon submarine clone spy mike myers heather graham michael york robert wagner rob lowe adventure comedy crime science fiction jay roach 1999 film films movies movie actor actress director,18.316151,6.2,114809.29769820001,1999-06-08
1338,8470,john q father son relationship chicago heart attack kidnapping heart disease denzel washington robert duvall anne heche kimberly elise daniel e. smith drama thriller crime nick cassavetes 2002 film films movies movie actor actress director,27.465433,7.0,114201.27041400001,2002-02-15
2594,51828,one day based on novel comedian job love male female relationship anne hathaway jim sturgess patricia clarkson ken stott romola garai drama romance lone scherfig 2011 film films movies movie actor actress director,16.629173,7.0,113843.318358,2011-03-02
854,8202,æon flux martial arts dystopia surrealism based on cartoon shootout charlize theron marton csokas jonny lee miller sophie okonedo frances mcdormand action science fiction karyn kusama 2005 film films movies movie actor actress director,29.954302,5.4,113712.52125240001,2005-11-30
950,9631,the negotiator corruption hostage pension innocence police samuel l. jackson kevin spacey david morse ron rifkin john spencer action adventure crime drama mystery f. gary gray 1998 film films movies movie actor actress director,28.725621000000004,6.8,113684.51766960001,1998-07-29
3576,71,billy elliot workers' quarter dancing class strike northern england scholarship jamie bell julie walters jean heywood jamie draven gary lewis drama comedy music stephen daldry 2000 film films movies movie actor actress director,20.428237,7.4,113376.71535,2000-05-18
3162,660,thunderball paris florida fighter pilot sanatorium secret organization sean connery claudine auger adolfo celi luciana paluzzi rik van nutter adventure action thriller terence young 1965 film films movies movie actor actress director,31.036,6.5,113374.508,1965-12-16
2323,10147,bad santa holiday elves christmas party department store safe billy bob thornton tony cox brett kelly bernie mac john ritter drama comedy crime terry zwigoff 2003 film films movies movie actor actress director,26.58873,6.5,113374.34472000001,2003-11-26
2293,29427,the crazies terror biological weapon cover-up splatter duringcreditsstinger timothy olyphant radha mitchell joe anderson danielle panabaker christie lynn smith mystery horror action breck eisner 2010 film films movies movie actor actress director,28.867568,6.2,113293.65737280001,2010-02-26
1756,245,about a boy london england rock and roll single parent rap music bachelor hugh grant nicholas hoult toni collette rachel weisz sharon small drama comedy romance chris weitz 2002 film films movies movie actor actress director,28.22798400000001,6.6,113086.94950080002,2002-04-26
3406,9571,dazed and confused 1970s texas high school comedy coming of age jason london rory cochrane wiley wiggins sasha jenson michelle burke comedy drama richard linklater 1993 film films movies movie actor actress director,26.181753,7.4,112953.31879260001,1993-09-24
2368,522,ed wood individual taxi transsexuality fortune teller film business johnny depp martin landau sarah jessica parker patricia arquette jeffrey jones comedy drama history tim burton 1994 film films movies movie actor actress director,24.548633,7.3,112899.16316699999,1994-09-27
1871,1268,mr. bean's holiday holiday france film director chaos clumsy fellow rowan atkinson max baldry emma de caunes willem dafoe karel roden family comedy steve bendelack 2007 film films movies movie actor actress director,27.683874,6.1,111961.8916182,2007-03-22
3737,10331,night of the living dead brother sister relationship cemetery gun gas station loss of father duane jones judith o'dea karl hardman marilyn eastman keith wayne horror george a. romero 1968 film films movies movie actor actress director,25.666029,7.5,111647.22615000002,1968-10-01
1664,102362,dead man down revenge new york city mysterious woman crime lord colin farrell noomi rapace terrence howard dominic cooper isabelle huppert thriller action crime drama niels arden oplev 2013 film films movies movie actor actress director,29.647844,5.9,111600.4143848,2013-03-08
1373,409,the english patient cairo egypt identity amnesia world war ii ralph fiennes juliette binoche willem dafoe kristin scott thomas naveen andrews drama romance war anthony minghella 1996 film films movies movie actor actress director,29.381878000000004,7.0,111474.84513200002,1996-11-14
1157,11007,cheaper by the dozen big family new job aspiring actor smart kid steve martin bonnie hunt piper perabo tom welling hilary duff comedy shawn levy 2003 film films movies movie actor actress director,26.516624,6.0,111210.721056,2003-12-24
2916,11887,high school musical 3: senior year musical music high school coming of age teenager zac efron vanessa hudgens ashley tisdale lucas grabeel corbin bleu comedy drama family music romance kenny ortega 2008 film films movies movie actor actress director,21.801188,6.2,110972.40715760001,2008-10-22
746,6278,reign of fire dragon evolution fire chief animated map theatre audience christian bale matthew mcconaughey izabella scorupco gerard butler alexander siddig adventure action fantasy rob bowman 2002 film films movies movie actor actress director,27.61510800000001,6.0,110847.04351200005,2002-07-12
2528,208134,bad grandpa duringcreditsstinger johnny knoxville jackson nicoll georgina cates spike jonze catherine keener comedy jeff tremaine 2013 film films movies movie actor actress director,27.165222,6.0,110834.10576,2013-10-22
1849,11283,nanny mcphee loss of mother nanny education wizardry children emma thompson colin firth kelly macdonald thomas brodie-sangster eliza bennett fantasy comedy family kirk jones 2005 film films movies movie actor actress director,24.356483,6.4,110831.74024320002,2005-10-21
2815,154,star trek ii: the wrath of khan uss enterprise genesis asteroid self sacrifice midlife crisis william shatner leonard nimoy deforest kelley james doohan george takei action adventure science fiction thriller nicholas meyer 1982 film films movies movie actor actress director,22.434102,7.3,110544.037605,1982-06-03
1178,7461,vantage point bomb terror spain usa president terrorist dennis quaid matthew fox forest whitaker sigourney weaver william hurt drama action thriller crime pete travis 2008 film films movies movie actor actress director,24.862767,6.2,110370.7952664,2008-02-01
4773,2292,clerks salesclerk loser aftercreditsstinger brian o'halloran jeff anderson jason mewes kevin smith lisa spoonhauer comedy kevin smith 1994 film films movies movie actor actress director,19.748658,7.4,110335.752246,1994-09-13
1896,9352,eurotrip paris berlin alcohol sex nudity scott mechlowicz jacob pitts michelle trachtenberg travis wester vinnie jones comedy jeff schaffer 2004 film films movies movie actor actress director,25.848003,6.5,110215.88479199998,2004-02-20
924,10320,the ring two nun based on novel bath tub nightmare son naomi watts simon baker elizabeth perkins david dorfman gary cole drama horror thriller hideo nakata 2005 film films movies movie actor actress director,32.233713,5.4,110007.21572640001,2005-03-17
2281,11247,a cinderella story jealousy cinderella work step mother high school hilary duff jennifer coolidge chad michael murray dan byrd regina king comedy mark rosman 2004 film films movies movie actor actress director,25.28132,6.1,109956.045076,2004-07-10
1007,96724,anna karenina based on novel st. petersburg russia high society imperial russia tragic death keira knightley jude law aaron taylor-johnson kelly macdonald matthew macfadyen drama romance joe wright 2012 film films movies movie actor actress director,26.38704,6.5,109598.57064,2012-09-06
303,314,catwoman white russian sex dc comics beauty sexism halle berry benjamin bratt sharon stone lambert wilson frances conroy action crime pitof 2004 film films movies movie actor actress director,32.271938,4.2,109518.04879680001,2004-07-22
803,8840,dragonheart magic kingdom despot immortality village dennis quaid david thewlis pete postlethwaite dina meyer julie christie fantasy rob cohen 1996 film films movies movie actor actress director,31.791979,6.4,108855.73609600001,1996-05-31
2540,287903,krampus fire winter santa claus snow storm christmas tree adam scott toni collette allison tolman david koechner emjay anthony horror comedy fantasy michael dougherty 2015 film films movies movie actor actress director,31.565117,5.9,108760.76713520002,2015-11-26
1081,4148,revolutionary road adultery jealousy infidelity career marriage crisis leonardo dicaprio kate winslet michael shannon kathryn hahn david harbour drama romance sam mendes 2008 film films movies movie actor actress director,20.360549,6.7,108586.8799268,2008-12-19
3468,1523,the last king of scotland dictator 1970s general kidnapping naivety forest whitaker james mcavoy simon mcburney gillian anderson kerry washington drama kevin macdonald 2006 film films movies movie actor actress director,26.286954,7.4,108544.09045680001,2006-09-01
380,921,cinderella man transporter netherlands world cup socially deprived family family's daily life russell crowe ren\u00e9e zellweger paul giamatti craig bierko paddy considine romance drama history ron howard 2005 film films movies movie actor actress director,24.100863,7.3,108376.7607384,2005-06-02
3407,13649,high school musical 2 musical music summer teenager summer job zac efron vanessa hudgens ashley tisdale lucas grabeel corbin bleu comedy drama family music kenny ortega 2007 film films movies movie actor actress director,21.01755,6.1,108078.54736499999,2007-08-17
1136,79,hero countryside loss of lover right and justice patriot jet li tony leung chiu-wai maggie cheung donnie yen zhang ziyi drama adventure action history zhang yimou 2002 film films movies movie actor actress director,23.607392,7.2,107932.996224,2002-12-19
58,5174,rush hour 3 ambassador chris tucker jackie chan hiroyuki sanada max von sydow yvan attal action comedy crime thriller brett ratner 2007 film films movies movie actor actress director,22.57178,6.1,107809.592814,2007-08-08
2902,26466,triangle ocean florida autism key yacht melissa george liam hemsworth emma lung rachael carpani michael dorman horror christopher smith 2009 film films movies movie actor actress director,25.496926,6.9,107668.4191128,2009-10-16
666,100241,"i, frankenstein soul queen anti hero fantasy prince aaron eckhart yvonne strahovski bill nighy jai courtney miranda otto horror thriller stuart beattie 2014 film films movies movie actor actress director",31.32473400000001,5.0,107600.46129000004,2014-01-22
1555,11836,the spongebob squarepants movie ocean sea star water freeze tom kenny clancy brown rodger bumpass bill fagerbakke carolyn lawrence animation comedy family stephen hillenburg 2004 film films movies movie actor actress director,27.870755,6.7,107185.349579,2004-11-14
1817,619,the bodyguard sister sister relationship anonymous letter diva bodyguard oscar award whitney houston kevin costner michele lamar richards ralph waite gary kemp thriller action drama music romance mick jackson 1992 film films movies movie actor actress director,26.576385,6.1,107158.64195849998,1992-11-25
1425,59965,abduction cia airport hero fight kidnapping taylor lautner lily collins alfred molina jason isaacs maria bello thriller action mystery john singleton 2011 film films movies movie actor actress director,19.893646,5.6,107059.6453136,2011-09-22
372,1535,spy game spy china cia cold war robert redford brad pitt catherine mccormack stephen dillane larry bryggman action crime thriller tony scott 2001 film films movies movie actor actress director,27.166757,6.8,106960.9556604,2001-11-18
1494,10719,elf holiday elves santa claus looking for  birth parents romance will ferrell james caan zooey deschanel mary steenburgen daniel tay comedy family fantasy jon favreau 2003 film films movies movie actor actress director,16.901954,6.4,106766.26302720001,2003-10-09
1205,9913,the skeleton key nurse secret dream fight kidnapping kate hudson gena rowlands peter sarsgaard john hurt joy bryant drama horror mystery thriller iain softley 2005 film films movies movie actor actress director,29.105407,6.4,106735.34855040001,2005-07-29
1348,222936,aloha love triangle hawaii satellite military duringcreditsstinger bradley cooper emma stone rachel mcadams bill murray john krasinski drama comedy romance cameron crowe 2015 film films movies movie actor actress director,29.652536,5.2,106701.68554240001,2015-05-27
3380,71859,we need to talk about kevin suburb violence killing spree prison visit guinea pig john c. reilly tilda swinton ezra miller siobhan fallon jasper newell drama thriller lynne ramsay 2011 film films movies movie actor actress director,21.276864,7.4,106592.83326720001,2011-09-28
2157,19901,daybreakers female nudity sunrise waitress experiment rain ethan hawke sam neill willem dafoe claudia karvan isabel lucas fantasy horror action thriller science fiction michael spierig 2009 film films movies movie actor actress director,28.019226,6.0,106585.135704,2009-01-06
2306,10065,the amityville horror holy water long island remake family dinner paranormal ryan reynolds melissa george jesse james chlo\u00eb grace moretz jimmy bennett horror thriller drama andrew douglas 2005 film films movies movie actor actress director,30.205943,6.0,106566.566904,2005-04-15
399,7484,open season hunter mountains garage grizzly bear bunny martin lawrence ashton kutcher gary sinise debra messing billy connolly adventure animation family jill culton 2006 film films movies movie actor actress director,26.61951,6.1,106520.631216,2006-09-29
3242,10734,escape from alcatraz prison based on novel island mouse alcatraz clint eastwood patrick mcgoohan roberts blossom jack thibeau fred ward crime drama don siegel 1979 film films movies movie actor actress director,26.356697,7.2,106459.97052239999,1979-06-22
2405,3597,i know what you did last summer secret blackmail fisherman police high school jennifer love hewitt sarah michelle gellar ryan phillippe freddie prinze jr. bridgette wilson horror thriller mystery jim gillespie 1997 film films movies movie actor actress director,27.654472,5.6,106392.28467839998,1997-10-17
709,38167,eat pray love indonesia female protagonist india divorce bali julia roberts james franco javier bardem billy crudup richard jenkins drama ryan murphy 2010 film films movies movie actor actress director,28.800112,5.8,106237.85314559999,2010-08-12
768,38321,priest vampire crucifixion post-apocalyptic dystopia vampire hunter paul bettany karl urban cam gigandet maggie q lily collins action science fiction fantasy thriller horror scott stewart 2011 film films movies movie actor actress director,28.350927,5.4,105941.7440136,2011-05-05
2587,64689,killing them softly poker gambling robbery based on novel hitman brad pitt scoot mcnairy ben mendelsohn james gandolfini ray liotta crime thriller andrew dominik 2012 film films movies movie actor actress director,24.612603,5.8,105922.7982708,2012-09-20
4796,14337,primer distrust garage identity crisis time travel time machine shane carruth david sullivan casey gooden anand upadhyaya carrie crawford science fiction drama thriller shane carruth 2004 film films movies movie actor actress director,23.307949,6.9,105822.75004980002,2004-10-08
578,23398,alvin and the chipmunks: the squeakquel chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger zachary levi david cross jason lee justin long matthew gray gubler comedy family animation fantasy music betty thomas 2009 film films movies movie actor actress director,29.412262,5.4,105778.2590568,2009-12-21
2148,243,high fidelity chicago music record rock and roll record store soul john cusack iben hjejle todd louiso jack black lisa bonet comedy drama romance music stephen frears 2000 film films movies movie actor actress director,23.982956,7.0,105429.07457600001,2000-03-17
1164,4234,scream 3 mask metal detector film director ex-cop reporter david arquette neve campbell courteney cox patrick dempsey scott foley horror mystery wes craven 2000 film films movies movie actor actress director,24.992057,5.7,104846.6775264,2000-02-03
621,300673,the finest hours coast guard based on true story survival rescue mission storm at sea chris pine casey affleck ben foster eric bana holliday grainger action drama history thriller craig gillespie 2016 film films movies movie actor actress director,28.22366400000001,6.3,104551.74092160004,2016-01-25
726,9384,starsky & hutch informant jumping from a rooftop surveillance footage ben stiller owen wilson snoop dogg fred williamson vince vaughn comedy crime todd phillips 2004 film films movies movie actor actress director,28.848842,5.6,104040.4637888,2004-03-05
3343,253,live and let die london england new york bomb england spy roger moore yaphet kotto jane seymour clifton james julius harris adventure action thriller guy hamilton 1973 film films movies movie actor actress director,30.465138,6.4,103922.6787456,1973-07-05
488,9992,arthur and the invisibles grandfather grandson relationship wretch treasure hunt disappearance family freddie highmore mia farrow ron crawford penny balfour doug rand adventure fantasy animation family luc besson 2006 film films movies movie actor actress director,27.097932,6.0,103893.471288,2006-12-13
2025,228194,the hundred-foot journey france based on novel indian lead restaurant family helen mirren manish dayal om puri charlotte le bon rohan chand drama lasse hallstr\u00f6m 2014 film films movies movie actor actress director,27.898438,7.3,103458.56747919999,2014-08-06
1940,72113,carnage flat mobile phone hamster insult dark comedy kate winslet jodie foster christoph waltz john c. reilly elvis polanski comedy drama roman polanski 2011 film films movies movie actor actress director,20.011435,7.0,103379.07320999999,2011-09-16
1520,124459,the incredible burt wonderstone magic las vegas steve carell jim carrey steve buscemi olivia wilde james gandolfini comedy don scardino 2013 film films movies movie actor actress director,26.9385,5.3,103368.41219999999,2013-03-14
2092,8872,wayne's world tv show heavy metal television producer woman director mike myers dana carvey rob lowe tia carrere lara flynn boyle music comedy penelope spheeris 1992 film films movies movie actor actress director,21.815122,6.5,103229.15730400001,1992-02-14
2034,146239,delivery man remake sperm donor vince vaughn cobie smulders chris pratt britt robertson jack reynor comedy ken scott 2013 film films movies movie actor actress director,30.114383,6.2,102876.7552046,2013-10-10
1363,10054,spy kids double life parents kids relationship brother sister relationship loss of parents secret agent alexa penavega daryl sabara antonio banderas carla gugino alan cumming action comedy family adventure robert rodriguez 2001 film films movies movie actor actress director,21.543389,5.5,102729.6504465,2001-03-18
2990,8922,jeepers creepers mass murder song brother sister aftercreditsstinger gina philips justin long jonathan breck patricia belcher eileen brennan horror thriller victor salva 2001 film films movies movie actor actress director,23.316208,6.1,102404.785536,2001-07-01
1745,10024,my sister's keeper parents kids relationship sister sister relationship court case in vitro fertilisation medical examiner cameron diaz alec baldwin abigail breslin joan cusack sofia vassilieva drama nick cassavetes 2009 film films movies movie actor actress director,24.09152000000001,7.1,102287.77561600003,2009-06-26
1701,1428,once upon a time in mexico corruption cia antonio banderas salma hayek johnny depp eva mendes mickey rourke action robert rodriguez 2003 film films movies movie actor actress director,27.55564600000001,6.2,101481.93308880004,2003-09-11
1791,22894,legion angel diner religion apocalypse demon paul bettany dennis quaid kevin durand kate walsh doug jones horror scott stewart 2010 film films movies movie actor actress director,30.981604,5.2,101334.6303632,2010-01-21
3746,241251,the boy next door male nudity female nudity sex adultery infidelity jennifer lopez ryan guzman ian nelson john corbett kristin chenoweth thriller rob cohen 2015 film films movies movie actor actress director,24.161735,4.1,101242.50199699998,2015-01-23
4758,242095,the signal hacker supernatural powers road trip independent film superpower brenton thwaites olivia cooke beau knapp laurence fishburne robert longstreet thriller science fiction william eubank 2014 film films movies movie actor actress director,27.662696,5.8,101239.9348208,2014-03-15
530,37821,killers assassin katherine heigl ashton kutcher tom selleck catherine o'hara alex borstein action comedy thriller romance robert luketic 2010 film films movies movie actor actress director,23.004607,5.7,101229.4726428,2010-06-04
3167,10585,child's play gun birthday voodoo toy stalker catherine hicks chris sarandon alex vincent brad dourif dinah manoff horror thriller tom holland 1988 film films movies movie actor actress director,27.600843,6.3,101027.36563290001,1988-11-08
1181,820,jfk assassination cia homophobia new orleans vietnam war kevin costner tommy lee jones gary oldman kevin bacon michael rooker drama thriller history oliver stone 1991 film films movies movie actor actress director,26.82041,7.5,100978.84365,1991-12-20
3731,10947,high school musical becoming an adult musical music high school school performance zac efron vanessa hudgens ashley tisdale lucas grabeel corbin bleu comedy drama family music tv movie kenny ortega 2006 film films movies movie actor actress director,16.536374,6.1,100871.8814,2006-01-20
1083,9381,babylon a.d. submarine baby secret future mercenary vin diesel michelle yeoh m\u00e9lanie thierry lambert wilson charlotte rampling action adventure science fiction thriller mathieu kassovitz 2008 film films movies movie actor actress director,27.568194,5.4,100634.93537759999,2008-08-20
1573,8292,four brothers brother brother relationship robbery arbitrary law adoptive mother revenge mark wahlberg tyrese gibson andr\u00e9 benjamin garrett hedlund terrence howard action crime john singleton 2005 film films movies movie actor actress director,24.694551,6.7,100430.2694619,2005-08-11
366,9383,hollow man killing human experimentation scientist invisible man science experiment kevin bacon elisabeth shue josh brolin kim dickens rhona mitra action science fiction thriller paul verhoeven 2000 film films movies movie actor actress director,28.200874,5.6,100124.38304959999,2000-08-04
1737,58431,pride and prejudice and zombies based on novel dystopia shaolin prejudice zombie lily james sam riley jack huston bella heathcote douglas booth romance horror comedy thriller burr steers 2016 film films movies movie actor actress director,28.397048,5.5,99957.60896,2016-02-04
3997,11072,blazing saddles gun saloon governor marching band comedy cleavon little gene wilder harvey korman slim pickens madeline kahn western comedy mel brooks 1974 film films movies movie actor actress director,22.793929,7.2,99946.8198792,1974-02-07
3351,682,the man with the golden gun london england england martial arts assassin exotic island roger moore christopher lee britt ekland maud adams herv\u00e9 villechaize adventure action thriller guy hamilton 1974 film films movies movie actor actress director,30.214716,6.3,99744.8204592,1974-12-01
1429,98357,broken city mayor investigation politics ex-cop revenge mark wahlberg russell crowe catherine zeta-jones jeffrey wright barry pepper thriller crime drama allen hughes 2013 film films movies movie actor actress director,29.490057,5.7,99679.3416657,2013-01-18
1210,4970,gothika amnesia mental institution patient trust false accusations halle berry robert downey jr. charles s. dutton pen\u00e9lope cruz john carroll lynch horror thriller mathieu kassovitz 2003 film films movies movie actor actress director,27.303608,5.8,99609.0227056,2003-11-21
2877,1255,the host river mobile phone bravery archer daughter song kang-ho park hae-il bae doona ko ah-sung byun hee-bong horror drama science fiction bong joon-ho 2006 film films movies movie actor actress director,27.65527,6.7,99500.895933,2006-07-27
2027,10950,i am sam foster parents pro bono new baby social services learning sean penn michelle pfeiffer dianne wiest dakota fanning richard schiff drama jessie nelson 2001 film films movies movie actor actress director,26.071644,7.2,99489.393504,2001-12-28
732,9620,paycheck prophecy engineer scientist millionaire ben affleck aaron eckhart uma thurman paul giamatti colm feore action adventure mystery science fiction thriller john woo 2003 film films movies movie actor actress director,29.018826,5.9,99473.6336454,2003-12-25
529,9567,tears of the sun u.s. army nigeria president bruce willis monica bellucci cole hauser eamonn walker johnny messner action drama war antoine fuqua 2003 film films movies movie actor actress director,27.055085,6.4,99216.407712,2003-03-07
1517,31867,repo men dystopia evil corporation repo man aftercreditsstinger jude law forest whitaker alice braga liev schreiber carice van houten action science fiction thriller crime miguel sapochnik 2010 film films movies movie actor actress director,25.799697,6.2,99174.03526799999,2010-03-18
2172,226857,endless love teenage romance alex pettyfer gabriella wilde robert patrick rhys wakefield emma rigby drama romance shana feste 2014 film films movies movie actor actress director,27.256849,6.7,98980.5214586,2014-02-12
3143,667,you only live twice london england japan england assassination helicopter sean connery akiko wakabayashi karin dor mie hama tetsur\u014d tamba action thriller adventure lewis gilbert 1967 film films movies movie actor actress director,28.675891,6.5,98974.83778650001,1967-06-12
1992,37137,the naked gun 2½: the smell of fear washington d.c. usa president spoof the white house leslie nielsen priscilla presley george kennedy o.j. simpson robert goulet comedy crime david zucker 1991 film films movies movie actor actress director,27.33256,6.6,98495.613216,1991-06-28
929,6950,outbreak river general research army serum dustin hoffman rene russo morgan freeman kevin spacey cuba gooding jr. action drama science fiction thriller wolfgang petersen 1995 film films movies movie actor actress director,30.397496000000004,6.3,98241.66732240001,1995-03-10
3918,132344,before midnight hotel airport hotel room greece dream ethan hawke julie delpy seamus davey-fitzpatrick jennifer prior charlotte prior romance drama richard linklater 2013 film films movies movie actor actress director,23.299907,7.4,97934.1691024,2013-04-05
1005,1900,traffic usa war on drugs drug traffic drug dealer drug smuggle michael douglas benicio del toro jacob vargas tom\u00e1s mili\u00e1n russell g. jones thriller drama crime steven soderbergh 2000 film films movies movie actor actress director,25.170217,6.9,97605.0674826,2000-12-27
951,216282,into the storm tornado student found footage disaster movie richard armitage sarah wayne callies matt walsh nathan kress alycia debnam-carey action thriller steven quale 2014 film films movies movie actor actress director,20.566554,5.8,97456.6727844,2014-08-06
357,271969,ben-hur betrayal vengeance jack huston toby kebbell rodrigo santoro nazanin boniadi ayelet zurer drama timur bekmambetov 2016 film films movies movie actor actress director,29.608322,5.3,97449.8701986,2016-08-17
2229,106747,machete kills mexico white house nuclear missile machete outer space danny trejo mel gibson amber heard michelle rodriguez sof\u00eda vergara action crime thriller robert rodriguez 2013 film films movies movie actor actress director,29.072964,5.3,97228.7135052,2013-09-12
1000,47327,drive angry bone car explosion premarital sex satanic cult driver's license nicolas cage amber heard william fichtner billy burke david morse fantasy thriller action crime patrick lussier 2011 film films movies movie actor actress director,30.387148,5.3,96631.13064,2011-02-24
3903,826,the bridge on the river kwai japan resistance japanese river prisoners of war william holden alec guinness jack hawkins sessue hayakawa james donald drama history war david lean 1957 film films movies movie actor actress director,23.109959,7.7,96447.10289060001,1957-10-02
1601,41233,step up 3d musical duringcreditsstinger 3d rick malambri adam g. sevani joe slaughter sharni vinson alyson stoner drama romance jon m. chu 2010 film films movies movie actor actress director,25.060342,6.6,96261.7856904,2010-08-04
4542,43933,monsters monster pyramid radio dystopia infection whitney able scoot mcnairy annalee jefferies kevon kane fernando lara drama thriller science fiction gareth edwards 2010 film films movies movie actor actress director,26.406001,6.2,96102.0000394,2010-06-18
2234,48231,a dangerous method based on novel psychoanalysis sigmund freud biography spanking keira knightley viggo mortensen michael fassbender sarah gadon vincent cassel drama thriller david cronenberg 2011 film films movies movie actor actress director,27.133277000000003,6.2,96057.22723540002,2011-09-30
781,2309,inkheart book fairy tale eavesdropping adventure writer's block brendan fraser sienna guillory andy serkis eliza bennett paul bettany adventure family fantasy iain softley 2008 film films movies movie actor actress director,27.018886,6.0,95971.083072,2008-12-11
1305,55787,water for elephants clown elephant trainer veterinary robert pattinson reese witherspoon christoph waltz tatum etheridge hal holbrook drama romance francis lawrence 2011 film films movies movie actor actress director,16.801218,6.7,95682.93651,2011-03-15
723,8645,the happening tree natural disaster crisis park strange behavior mark wahlberg zooey deschanel john leguizamo spencer breslin betty buckley thriller science fiction m. night shyamalan 2008 film films movies movie actor actress director,20.501582,4.9,95434.86421,2008-06-11
